b'Name',b'Creator',b'First public release',b'Latest stable version',b'Latest Release Date',b'Programming language',b'Cost (US$)',b'Software license',b'Open source'
b'Peppermint',b'Ioannis Zafeiropoulos',b'2014',b'1.4',b'2014-12-07',"b'Objective-C, JavaScript'",b'$14.99',b'Proprietary',b'No'
b'Pico',b'University of Washington',b'1992',b'4.64',b'',b'C',b'Free',b'AL2',b'Yes'
b'PolyEdit',b'PolySoft Solutions',b'1998',b'5.4',b'2010-04-07',b'',b'$27.95',b'Shareware',b'No'
"b""Programmer's Notepad""",b'Simon Steele',b'1998',b'2.4.2',b'2016-12-02',b'C++',b'Free',b'BSD',b'Yes'
b'PSPad',b'Jan Fiala',b'2002',b'4.6.2',b'2017-03-01',b'Object Pascal (Delphi)',b'Free',b'Proprietary',b'No'
b'Q10',b'Baara Estudio',b'2007',b'1.2.21',b'2011-06-16',b'\xc2\xa0?',b'Free',b'Proprietary',b'No'
b'RJ TextEd',b'Rickard Johansson',b'2004',b'11.22',b'2016-10-04',b'Object Pascal (Delphi)',b'Free',b'Proprietary',b'No'
b'RText',b'Fifesoft',b'2003',b'2.6.2',b'2016-09-28',b'Java',b'Free',b'BSD',b'Yes'
b'Sam',b'Rob Pike',b'early 1980s',b'stable',b'',b'C',b'Free',b'LPL (OSI approved)',b'Yes'
b'SciTE',b'Neil Hodgson',b'1999',b'3.7.3',b'2017-02-20',b'C++',b'$41.99 for macOS. free for others',b'HPND',b'Yes'
b'SlickEdit',"b'SlickEdit, Inc.'",b'1988',b'21.0.0',b'2016-10-14',"b'C, Slick-C'",b'$299',b'Proprietary',b'No'
b'Smultron',b'Peter Borg',b'2004',b'9.2.3',b'2017-02-20',b'Objective-C',b'$5',b'Proprietary',b'No'
b'Source Insight',b'Source Dynamics',b'\xc2\xa0?',b'4.0.0084',b'2017-02-26',b'Source Insight macro language',b'$239-$255',b'Proprietary',b'No'
b'SubEthaEdit',b'TheCodingMonkeys',b'2003',b'4.1',b'2015-02-25',b'',b'$35 commercial use',b'Proprietary',b'No'
b'Sublime Text',b'Jon Skinner',b'2008',b'3126',b'2016-09-23',"b'C++, Objective-C++ (macOS version), Python'",b'$70',b'Proprietary',b'No'
b'TED Notepad',b'Juraj Simlovic',b'2001',b'6.0.2',b'2011-11-30',b'C',b'Free',b'Freeware',b'No'
b'Textadept',b'Mitchell',b'2007',b'9.3',b'2017-02-28',"b'C, Lua'",b'Free',b'MIT',b'Yes'
